`id_partido`; `id_temporada`;num_jornada; `ds_dia_semana`; `fe_fecha`;ds_hora; `id_equipo_local`;ds_nombre_local; `id_equipo_visitante`;ds_nombre_visitante; `ct_odds_local`; `ct_odds_empate`; `ct_odds_visitante`; `ct_goles_local`; `ct_goles_visitante`;BTTS; `ct_xg_local`; `ct_xg_visitante`; `ct_asistencia`; `ds_estadio_partido`; `ds_arbitro`;Entrenador local;Entrenador visitante; `ct_possesion_local`; `ct_possesion_visitante`; `num_remates_local`; `num_remates_visitante`; `num_remates_puerta_local`; `num_remates_puerta_visitante`; `num_remates_fuera_local`; `num_remates_fuera_visitante`; `num_tarjetas_local`; `num_tarjetas_visitante`; `num_corners_local_1p`; `num_corners_visitante_1p`; `num_corners_local_2p`; `num_corners_visitante_2p`;Total corners; `num_faltas_local`; `num_faltas_visitante`; `num_fueras_juego_local`; `num_fueras_juego_visitante`;Tajerata roja local;Tajerata roja visitante;Minuto primera tarjeta roja; `ds_formacion_local`; `ds_formacion_visitante`; `m_gol_1_loc`; `m_gol_2_loc`; `m_gol_3_loc`; `m_gol_4_loc`; `m_gol_5_loc`; `m_gol_6_loc`; `m_gol_7_loc`; `m_gol_8_loc`; `m_gol_9_loc`; `m_gol_10_loc`; `m_gol_11_loc`; `m_gol_12_loc`; `m_gol_1_vis`; `m_gol_2_vis`; `m_gol_3_vis`; `m_gol_4_vis`; `m_gol_5_vis`; `m_gol_6_vis`; `m_gol_7_vis`; `m_gol_8_vis`; `m_gol_9_vis`; `m_gol_10_vis`; `m_gol_11_vis`; `m_gol_12_vis`
40;2024-2025;5;viernes;13/09/2024;21:00;3;Real Betis;10;LeganÈs;1.67;3.5;6.0;2;0;0;2.12;0.1;48089;Estadio Benito Villamar√≠n;Pablo Gonz√°lez;;;64;36;14;3;5;0;9;3;1;2;4;0;7;1;12;11;18;2;1;;;;NULL;NULL;74;86;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
41;2024-2025;5;sabado;14/09/2024;14:00;15;Mallorca;19;Villarreal;2.35;3.35;3.2;1;2;1;0.35;1.77;18303;Estadi Mallorca Son Moix;Ricardo de Burgos;;;54;46;9;21;4;4;5;17;3;3;5;4;2;2;13;11;10;2;1;;;;NULL;NULL;57;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;27;90+4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
42;2024-2025;5;sabado;14/09/2024;16:15;18;Espanyol;6;AlavÈs;2.9;3.0;2.7;3;2;1;1.58;1.91;24238;RCDE Stadium;Juan Pulido;;;38;62;9;19;4;6;5;13;2;3;0;2;0;3;5;17;14;3;0;;;;NULL;NULL;21;56;63;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;35;68;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
43;2024-2025;5;sabado;14/09/2024;18:30;8;Sevilla;2;Getafe;2.25;3.0;3.6;1;0;0;1.41;1.01;32643;Estadio Ram√≥n S√°nchez Pizju√°n;Mateo Busquets;;;60;40;10;15;4;4;6;11;1;4;1;2;2;2;7;19;15;1;2;;;;NULL;NULL;23;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
44;2024-2025;5;sabado;14/09/2024;21:00;13;Real Sociedad;16;Real Madrid;4.75;3.7;1.73;0;2;0;1.07;2.38;3737;Reale Arena;Juan Mart√≠nez;;;48;52;11;16;2;6;9;10;4;1;5;3;1;3;12;12;9;2;1;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;58;75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
45;2024-2025;5;domingo;15/09/2024;14:00;5;Celta Vigo;17;Valladolid;1.62;3.8;5.5;3;1;1;1.84;0.51;2167;Estadio Abanca Bala√≠dos;Francisco Hern√°ndez;;;54;46;14;6;9;2;5;4;3;5;3;0;2;3;8;14;15;3;1;;;;NULL;NULL;22;35;90+1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;50;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
46;2024-2025;5;domingo;15/09/2024;16:15;4;Girona;12;Barcelona;4.33;4.1;1.73;1;4;1;1.29;1.88;13891;Estadi Municipal de Montilivi;Alejandro Mu√±√≠z;;;45;55;9;20;4;9;5;11;3;2;0;3;1;3;7;13;4;7;0;;;;NULL;NULL;80;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;30;37;47;64;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
47;2024-2025;5;domingo;15/09/2024;18:30;7;Las Palmas;1;Athletic Club;3.75;3.4;2.05;2;3;1;1.42;2.15;25908;Estadio de Gran Canaria;Miguel √Ångel Ortiz Arias;;;65;35;15;9;6;4;9;5;1;2;2;1;7;2;12;8;12;0;1;;;;NULL;NULL;58;83;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7;30;76;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
48;2024-2025;5;domingo;15/09/2024;21:00;20;AtlÈtico Madrid;11;Valencia;1.38;4.33;9.0;3;0;0;3.24;0.15;61752;Riyadh Air Metropolitan Stadium;C√©sar Soto;;;53;47;14;5;4;1;10;4;1;2;6;0;1;3;10;10;8;1;2;;;;NULL;NULL;39;54;90+4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
49;2024-2025;5;lunes;16/09/2024;21:00;14;Rayo Vallecano;9;Osasuna;2.1;3.2;3.8;3;1;1;1.68;0.33;13073;Campo de F√∫tbol de Vallecas;Alejandro Quintero;;;66;34;17;5;6;2;11;3;3;2;3;1;4;3;11;12;15;3;0;;;;NULL;NULL;50;66;90+5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;27;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
50;2024-2025;7;martes;17/09/2024;19:00;15;Mallorca;13;Real Sociedad;2.90;3.00;2.70;1;0;0;;;17132;Estadi Mallorca Son Moix;Adri√°n Cordero;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
51;2024-2025;3;miercoles;18/09/2024;19:00;3;Real Betis;2;Getafe;1.85;3.1;5.25;2;1;1;2.93;0.61;48547;Estadio Benito Villamar√≠n;Juan Pulido;;;66;34;17;15;7;5;10;10;3;5;3;3;5;3;14;10;20;0;2;;;;NULL;NULL;61;74;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;90+3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
52;2024-2025;7;jueves;19/09/2024;19:00;10;LeganÈs;1;Athletic Club;2.25;3.10;3.50;0;2;0;;;8304;Estadio Municipal de Butarque;Francisco Hern√°ndez;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
53;2024-2025;6;viernes;20/09/2024;21:00;6;AlavÈs;8;Sevilla;2.25;3.20;3.40;2;1;1;;;16538;Estadio de Mendizorroza;Javier Alberola;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
54;2024-2025;6;sabado;21/09/2024;14:00;17;Valladolid;13;Real Sociedad;2.50;3.10;3.10;0;0;0;;;21171;Estadio Municipal Jos√© Zorrilla;Guillermo Cuadra;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
55;2024-2025;6;sabado;21/09/2024;16:15;9;Osasuna;7;Las Palmas;2.15;3.10;3.75;2;1;1;;;19043;Estadio El Sadar;Isidro D√≠az de Mera;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
56;2024-2025;6;sabado;21/09/2024;18:30;11;Valencia;4;Girona;2.05;3.20;4.00;2;0;0;;;40896;Estadio de Mestalla;Alejandro Hern√°ndez;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
57;2024-2025;6;sabado;21/09/2024;21:00;16;Real Madrid;18;Espanyol;1.15;8.00;19.00;4;1;1;;;17284;Estadio Santiago Bernab√©u;Jos√© Luis Munuera;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
58;2024-2025;6;domingo;22/09/2024;14:00;2;Getafe;10;LeganÈs;1.95;3.20;4.50;1;1;1;;;1306;Coliseum Alfonso P√©rez;Adri√°n Cordero;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
59;2024-2025;6;domingo;22/09/2024;16:15;1;Athletic Club;5;Celta Vigo;1.62;3.75;6.00;3;1;1;;;48737;San Mam√©s;Jose Maria S√°nchez;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
60;2024-2025;6;domingo;22/09/2024;18:30;19;Villarreal;12;Barcelona;4.20;4.00;1.75;1;5;1;;;22048;Estadio de la Cer√°mica;Mateo Busquets;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
61;2024-2025;6;domingo;22/09/2024;21:00;14;Rayo Vallecano;20;AtlÈtico Madrid;2.20;3.25;3.40;1;1;1;;;13646;Campo de F√∫tbol de Vallecas;Mario Melero;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
62;2024-2025;6;lunes;23/09/2024;21:00;3;Real Betis;15;Mallorca;1.85;3.40;4.50;1;2;1;;;47017;Estadio Benito Villamar√≠n;V√≠ctor Garc√≠a;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
63;2024-2025;7;martes;24/09/2024;19:00;8;Sevilla;17;Valladolid;2.15;3.10;3.75;2;1;1;;;35292;Estadio Ram√≥n S√°nchez Pizju√°n;Juan Pulido;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
64;2024-2025;7;martes;24/09/2024;19:00;11;Valencia;9;Osasuna;2.05;3.25;3.90;0;0;0;;;40425;Estadio de Mestalla;Miguel √Ångel Ortiz Arias;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
65;2024-2025;7;martes;24/09/2024;21:00;16;Real Madrid;6;AlavÈs;1.20;7.00;15.00;3;2;1;;;6748;Estadio Santiago Bernab√©u;Alejandro Mu√±√≠z;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
66;2024-2025;7;miercoles;25/09/2024;19:00;4;Girona;14;Rayo Vallecano;1.73;3.60;5.25;0;0;0;;;12272;Estadi Municipal de Montilivi;Juan Mart√≠nez;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
67;2024-2025;7;miercoles;25/09/2024;21:00;12;Barcelona;2;Getafe;1.25;6.50;11.00;1;0;0;;;44407;Estadi Ol√≠mpic Llu√≠s Companys;Pablo Gonz√°lez;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
68;2024-2025;7;jueves;26/09/2024;19:00;7;Las Palmas;3;Real Betis;2.60;3.00;3.00;1;1;1;;;22722;Estadio de Gran Canaria;Jose Maria S√°nchez;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
69;2024-2025;7;jueves;26/09/2024;19:00;18;Espanyol;19;Villarreal;2.20;3.20;3.50;1;2;1;;;23147;RCDE Stadium;Alejandro Quintero;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
70;2024-2025;7;jueves;26/09/2024;21:00;5;Celta Vigo;20;AtlÈtico Madrid;3.60;3.30;2.15;0;1;0;;;21533;Estadio Abanca Bala√≠dos;V√≠ctor Garc√≠a;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71;2024-2025;8;viernes;27/09/2024;21:00;17;Valladolid;15;Mallorca;2.62;3.10;2.90;1;2;1;;;20388;Estadio Municipal Jos√© Zorrilla;Jos√© Luis Munuera;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
72;2024-2025;8;sabado;28/09/2024;14:00;2;Getafe;6;AlavÈs;2.20;3.10;3.60;2;0;0;;;10006;Coliseum Alfonso P√©rez;Isidro D√≠az de Mera;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
73;2024-2025;8;sabado;28/09/2024;16:15;14;Rayo Vallecano;10;LeganÈs;3.20;3.20;2.35;1;1;1;;;13186;Campo de F√∫tbol de Vallecas;Alejandro Mu√±√≠z;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74;2024-2025;8;sabado;28/09/2024;18:30;13;Real Sociedad;11;Valencia;1.65;3.75;5.50;3;0;0;;;32332;Reale Arena;Javier Alberola;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
75;2024-2025;8;sabado;28/09/2024;21:00;9;Osasuna;12;Barcelona;5.50;4.20;1.60;4;2;1;;;22322;Estadio El Sadar;Guillermo Cuadra;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
76;2024-2025;8;domingo;29/09/2024;14:00;5;Celta Vigo;4;Girona;1.91;3.25;4.50;1;1;1;;;21347;Estadio Abanca Bala√≠dos;Ricardo de Burgos;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
77;2024-2025;8;domingo;29/09/2024;16:15;1;Athletic Club;8;Sevilla;1.95;3.40;4.00;1;1;1;;;48288;San Mam√©s;C√©sar Soto;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
78;2024-2025;8;domingo;29/09/2024;18:30;3;Real Betis;18;Espanyol;1.44;4.33;8.00;1;0;0;;;53065;Estadio Benito Villamar√≠n;Alejandro Hern√°ndez;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
79;2024-2025;8;domingo;29/09/2024;21:00;20;AtlÈtico Madrid;16;Real Madrid;2.80;3.60;2.45;1;1;1;;;70112;Riyadh Air Metropolitan Stadium;Mateo Busquets;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
80;2024-2025;8;lunes;30/09/2024;21:00;19;Villarreal;7;Las Palmas;2.05;3.50;3.60;3;1;1;;;18159;Estadio de la Cer√°mica;Mario Melero;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
81;2024-2025;9;NULL;04/10/2024;21:00;10;LeganÈs;11;Valencia;2.30;3.10;3.40;0;0;0;;;10958;Estadio Municipal de Butarque;Alejandro Quintero;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
82;2024-2025;9;NULL;05/10/2024;14:00;18;Espanyol;15;Mallorca;2.30;3.00;3.50;2;1;1;;;24434;RCDE Stadium;Francisco Hern√°ndez;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
83;2024-2025;9;NULL;05/10/2024;16:15;2;Getafe;9;Osasuna;2.45;3.00;3.30;1;1;1;;;1067;Coliseum Alfonso P√©rez;Jose Maria S√°nchez;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
84;2024-2025;9;NULL;05/10/2024;18:30;7;Las Palmas;5;Celta Vigo;3.20;3.10;2.45;0;1;0;;;21482;Estadio de Gran Canaria;Adri√°n Cordero;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
85;2024-2025;9;NULL;05/10/2024;18:30;17;Valladolid;14;Rayo Vallecano;1.70;3.80;5.00;1;2;1;;;21112;Estadio Municipal Jos√© Zorrilla;Pablo Gonz√°lez;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
86;2024-2025;9;NULL;05/10/2024;21:00;16;Real Madrid;19;Villarreal;1.25;6.00;11.00;2;0;0;;;73842;Estadio Santiago Bernab√©u;Guillermo Cuadra;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
87;2024-2025;9;NULL;06/10/2024;14:00;4;Girona;1;Athletic Club;1.57;3.90;6.50;2;1;1;;;13396;Estadi Municipal de Montilivi;Juan Pulido;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
88;2024-2025;9;NULL;06/10/2024;16:15;6;AlavÈs;12;Barcelona;1.95;3.30;4.20;0;3;0;;;19468;Estadio de Mendizorroza;Miguel √Ångel Ortiz Arias;;;NULL;NULL;NULL;NULL;NULL;NULL;#°VALOR!;#°VALOR!;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
