`id_partido`; `id_temporada`;num_jornada; `ds_dia_semana`; `fe_fecha`;ds_hora; `id_equipo_local`;ds_nombre_local; `id_equipo_visitante`;ds_nombre_visitante; `ct_odds_local`; `ct_odds_empate`; `ct_odds_visitante`; `ct_goles_local`; `ct_goles_visitante`;BTTS; `ct_xg_local`; `ct_xg_visitante`; `ct_asistencia`; `ds_estadio_partido`; `ds_arbitro`;Entrenador local;Entrenador visitante; `ct_possesion_local`; `ct_possesion_visitante`; `num_remates_local`; `num_remates_visitante`; `num_remates_puerta_local`; `num_remates_puerta_visitante`; `num_remates_fuera_local`; `num_remates_fuera_visitante`; `num_tarjetas_local`; `num_tarjetas_visitante`; `num_corners_local_1p`; `num_corners_visitante_1p`; `num_corners_local_2p`; `num_corners_visitante_2p`;Total corners; `num_faltas_local`; `num_faltas_visitante`; `num_fueras_juego_local`; `num_fueras_juego_visitante`;Tajerata roja local;Tajerata roja visitante;Minuto primera tarjeta roja; `ds_formacion_local`; `ds_formacion_visitante`; `m_gol_1_loc`; `m_gol_2_loc`; `m_gol_3_loc`; `m_gol_4_loc`; `m_gol_5_loc`; `m_gol_6_loc`; `m_gol_7_loc`; `m_gol_8_loc`; `m_gol_9_loc`; `m_gol_10_loc`; `m_gol_11_loc`; `m_gol_12_loc`; `m_gol_1_vis`; `m_gol_2_vis`; `m_gol_3_vis`; `m_gol_4_vis`; `m_gol_5_vis`; `m_gol_6_vis`; `m_gol_7_vis`; `m_gol_8_vis`; `m_gol_9_vis`; `m_gol_10_vis`; `m_gol_11_vis`; `m_gol_12_vis`
11;2024-2025;2;viernes;23/08/2024;19:00;5;Celta Vigo;11;Valencia;2.10;3.20;3.80;3;1;1;1.32;0.93;23519;Estadio Abanca Bala√≠dos;Jos√© Luis Munuera;Claudio Giraldez;Ruben Baraja;49;51;7;13;5;5;2;8;3;0;1;3;3;4;11;9;11;2;1;;;;3-4-2-1;4-4-2;22;27;60;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
12;2024-2025;2;viernes;23/08/2024;21:30;8;Sevilla;19;Villarreal;1.95;3.30;4.20;1;2;1;1.04;0.87;34004;Estadio Ram√≥n S√°nchez Pizju√°n;Isidro D√≠az de Mera;Garcia Pimienta;Marcelino Garcia;60;40;16;8;7;6;9;2;3;5;6;0;1;2;9;16;8;4;4;;;;4-3-3;4-4-2;45+6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;90+5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13;2024-2025;2;sabado;24/08/2024;17:00;9;Osasuna;15;Mallorca;2.45;3.10;3.10;1;0;0;0.57;0.57;199;Estadio El Sadar;Adri√°n Cordero;Vicente Moreno;Jagoba Arrasate;45;55;15;10;5;1;10;9;2;1;3;2;2;2;9;10;8;1;0;;;;4-3-3;4-3-3;55;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
14;2024-2025;2;sabado;24/08/2024;19:00;12;Barcelona;1;Athletic Club;1.57;4.33;5.25;2;1;1;1.83;1.03;46448;Estadi Ol√≠mpic Llu√≠s Companys;Jes√∫s Gil;Hans-Dieter Flick;Ernesto Valverde;65;35;13;8;5;2;8;6;4;5;4;4;1;2;11;11;16;2;5;;;;4-2-3-1;4-2-3-1;24;75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;42;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15;2024-2025;2;sabado;24/08/2024;21:30;2;Getafe;14;Rayo Vallecano;2.55;2.8;3.3;0;0;0;0.48;0.24;9529;Coliseum Alfonso P√©rez;Javier Alberola;Pepe Bordalas;Inigo PÈrez;48;52;12;3;0;0;12;3;1;2;0;2;3;0;5;16;18;0;4;;;;4-4-1-1;4-2-3-1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16;2024-2025;2;sabado;24/08/2024;21:30;18;Espanyol;13;Real Sociedad;3.7;3.1;2.15;0;1;0;1.78;0.77;209;RCDE Stadium;Mario Melero;;Imanol Alguacil;34;66;13;10;4;4;9;6;2;2;2;1;5;3;11;14;18;1;2;;;;4-4-2;4-1-4-1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;80;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17;2024-2025;2;domingo;25/08/2024;17:00;16;Real Madrid;17;Valladolid;1.13;9.0;17.0;3;0;0;2.14;0.42;70178;Estadio Santiago Bernab√©u;V√≠ctor Garc√≠a;;;64;36;17;8;9;0;8;8;1;1;3;1;2;4;10;10;15;4;0;;;;4-2-3-1;4-1-4-1;50;88;90+6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18;2024-2025;2;domingo;25/08/2024;19:00;10;LeganÈs;7;Las Palmas;2.40;3.10;3.25;2;1;1;1.48;0.88;10052;Estadio Municipal de Butarque;Ricardo de Burgos;Borja Jimenez;Luis Miguel Carrion;40;60;10;10;5;5;5;5;1;1;1;3;2;4;10;11;10;1;0;;;;4-1-4-1;4-2-3-1;71;85;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;90+3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
19;2024-2025;2;domingo;25/08/2024;19:15;6;AlavÈs;3;Real Betis;2.45;3.0;3.25;0;0;0;0.21;1.49;16623;Estadio de Mendizorroza;Mateo Busquets;;Manuel Pellegrini;37;63;5;15;1;3;4;12;1;4;2;1;1;7;11;17;16;1;1;1;;86;4-4-2;4-2-3-1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
20;2024-2025;2;domingo;25/08/2024;21:30;20;AtlÈtico Madrid;4;Girona;1.48;4.5;6.25;3;0;0;1.22;0.68;60414;Riyadh Air Metropolitan Stadium;Juan Mart√≠nez;;Michel;42;58;11;13;6;4;5;9;1;3;0;4;1;5;10;11;11;2;2;;;;3-5-2;4-3-3;39;48;90+4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
21;2024-2025;3;lunes;26/08/2024;21:30;19;Villarreal;5;Celta Vigo;1.67;4.2;4.75;4;3;1;3.7;2.71;19651;Estadio de la Cer√°mica;Miguel √Ångel Ortiz Arias;;;45;55;24;20;9;9;15;11;4;3;6;1;1;3;11;8;7;2;1;;;;4-4-2;3-4-2-1;26;60;64;90+10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;12;31;80;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
22;2024-2025;3;martes;27/08/2024;19:00;15;Mallorca;8;Sevilla;2.35;3.10;3.30;0;0;0;0.9;0.74;2047;Estadi Mallorca Son Moix;Alejandro Mu√±√≠z;;;45;55;12;16;4;7;8;9;0;1;1;4;4;5;14;15;10;3;1;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23;2024-2025;3;martes;27/08/2024;21:30;14;Rayo Vallecano;12;Barcelona;5.0;3.8;1.67;1;2;1;0.37;1.41;14031;Campo de F√∫tbol de Vallecas;C√©sar Soto;;;35;65;8;22;4;5;4;17;3;1;2;2;4;4;12;17;11;4;1;;;;NULL;NULL;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;60;82;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
24;2024-2025;3;miercoles;28/08/2024;19:00;1;Athletic Club;11;Valencia;1.7;3.7;5.0;1;0;0;1.38;0.08;48644;San Mam√©s;Pablo Gonz√°lez;;;50;50;13;2;4;0;9;2;1;3;4;1;1;2;8;14;9;1;3;;;;NULL;NULL;45;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
25;2024-2025;3;miercoles;28/08/2024;19:00;17;Valladolid;10;LeganÈs;2.15;3.00;3.8;0;0;0;1.13;0.18;21764;Estadio Municipal Jos√© Zorrilla;Alejandro Quintero;;;59;41;12;7;2;1;10;6;1;4;3;2;1;2;8;13;19;0;2;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
26;2024-2025;3;miercoles;28/08/2024;21:30;20;AtlÈtico Madrid;18;Espanyol;1.27;5.75;13.00;0;0;0;2.47;0.61;56669;Riyadh Air Metropolitan Stadium;Ricardo de Burgos;;;62;38;25;8;7;1;18;7;0;2;6;2;3;1;12;6;9;6;0;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
27;2024-2025;3;miercoles;28/08/2024;21:30;13;Real Sociedad;6;AlavÈs;1.62;3.7;6.25;1;2;1;1.03;1.59;3222;Reale Arena;Jose Maria S√°nchez;;;53;47;10;14;1;5;9;9;4;4;3;4;5;2;14;16;13;3;3;;;;NULL;NULL;32;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;45+5;77;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
28;2024-2025;3;jueves;29/08/2024;19:00;4;Girona;9;Osasuna;1.67;3.90;4.75;4;0;0;2.42;0.04;13275;Estadi Municipal de Montilivi;Francisco Hern√°ndez;;;60;40;10;1;5;0;5;1;0;0;2;0;3;0;5;10;9;5;2;;;;NULL;NULL;34;53;56;90;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
29;2024-2025;3;jueves;29/08/2024;21:30;7;Las Palmas;16;Real Madrid;8.5;5.5;1.3;1;1;1;0.76;2.95;31192;Estadio de Gran Canaria;Mateo Busquets;;;44;56;7;25;2;8;5;17;0;3;0;4;2;2;8;16;13;1;0;;;;NULL;NULL;5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;69;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
